feature,mean_abs_shap
f_proj_span,0.04234604257569427
f_n_siblings,0.037841698614197776
f_concurrent,0.030265818259524836
f_n_upstream,0.026377209073504035
f_float_ratio,0.019056939179242914
f_wbs_depth,0.019009777494070536
f_float,0.017238502180526825
f_proj_n_tasks,0.016371844929634893
f_rel_pos,0.013256541767601266
f_proj_med_dur,0.011641106786476474
f_cost_share,0.01072401945603817
f_n_pred,0.010631756567945598
f_early_spi,0.010524204211437568
f_cost,0.009385942409691091
f_log_cost,0.008928126488633888
f_proj_n_tp,0.008842840629036404
f_dur_vs_median,0.0079607014380756
f_log_dur,0.00764641119042397
f_betweenness,0.007105746468609023
f_dur,0.0067247292845546
f_proj_log_cost,0.006686588342082532
f_early_spit,0.006601224554646468
f_start_month,0.00639551658393097
f_cost_per_day,0.006322407997072407
f_n_SS,0.006175011427726809
f_n_downstream,0.005911825692452562
f_fixed_ratio,0.005321487140790448
f_has_resource,0.005057044292687877
f_n_resources,0.004388336808155988
f_n_FS,0.0036786719647813426
f_var_ratio,0.0034203732699717624
f_n_succ,0.003261769783976703
f_early_cpi,0.0031038896444374182
f_is_critical,0.001607325674880315
f_max_lag,0.0010934572736149978
f_sum_lag,0.0009677913537044481
f_has_lag,0.0007093558197736702
f_res_ratio,0.0004162702567823418
f_n_FF,0.00028212679910621084
