feature,overall_importance,within_project_contribution,within_ratio,is_project_constant
f_n_upstream,0.026377209073504035,0.02361692876647207,0.8953535872828686,False
f_concurrent,0.030265818259524836,0.01810590568401536,0.5982295118790427,False
f_float,0.017238502180526825,0.015219069567088557,0.8828533597472589,False
f_float_ratio,0.019056939179242914,0.013913384743696192,0.730095458291164,False
f_rel_pos,0.013256541767601266,0.01251375745557734,0.9439684704317625,False
f_n_siblings,0.037841698614197776,0.011894059267789464,0.31431092428094515,False
f_proj_span,0.04234604257569427,0.009945874205635143,0.23487139767209,True
f_cost_share,0.01072401945603817,0.009447889488953682,0.8810026434290026,False
f_proj_n_tasks,0.016371844929634893,0.009418654216936311,0.5752958360781613,True
f_n_pred,0.010631756567945598,0.008243628056232074,0.7753778036158527,False
f_betweenness,0.007105746468609023,0.0074075673832726795,1.0424756098457788,False
f_n_SS,0.006175011427726809,0.007298347803307691,1.181916485293763,False
f_dur_vs_median,0.0079607014380756,0.007228079008721173,0.9079701160691275,False
f_log_dur,0.00764641119042397,0.00714907627299627,0.9349583870076802,False
f_wbs_depth,0.019009777494070536,0.007013406756096184,0.36893681466202227,False
f_dur,0.0067247292845546,0.006385155074978382,0.9495036610089043,False
f_start_month,0.00639551658393097,0.006315700162143822,0.9875199413933676,False
f_cost,0.009385942409691091,0.0062713196502767335,0.6681608917397069,False
f_log_cost,0.008928126488633888,0.0060891338593255856,0.6820169793827928,False
f_n_downstream,0.005911825692452562,0.005152278948780899,0.8715207817034674,False
f_cost_per_day,0.006322407997072407,0.004560121966978143,0.7212634757341995,False
f_proj_med_dur,0.011641106786476474,0.0042516270653341305,0.3652253298005362,True
f_n_FS,0.0036786719647813426,0.004096169204152154,1.113491293425405,False
f_early_spi,0.010524204211437568,0.003999521812225162,0.38003080630823693,True
f_n_succ,0.003261769783976703,0.0033912739047619236,1.0397036361736514,False
f_proj_n_tp,0.008842840629036404,0.003144301638501392,0.355575970483596,True
f_early_spit,0.006601224554646468,0.0030769995878949614,0.46612557449346637,True
f_proj_log_cost,0.006686588342082532,0.0029931358242261123,0.4476327345275009,True
f_has_resource,0.005057044292687877,0.0029711814190859515,0.5875332006449038,False
f_n_resources,0.004388336808155988,0.0024726622296110394,0.5634622723158915,False
f_var_ratio,0.0034203732699717624,0.0023852752252765666,0.697372782736154,False
f_early_cpi,0.0031038896444374182,0.0022051225189402626,0.7104384406488596,True
f_fixed_ratio,0.005321487140790448,0.0019033509512731462,0.35767275216800104,False
f_is_critical,0.001607325674880315,0.0017796636961262514,1.107220349888811,False
f_sum_lag,0.0009677913537044481,0.0011461095818146956,1.184252760088931,False
f_max_lag,0.0010934572736149978,0.0010956238610280748,1.0019814102163445,False
f_has_lag,0.0007093558197736702,0.0009896162309880549,1.3950914384600461,False
f_res_ratio,0.0004162702567823418,0.0003435052953135426,0.8251977884962212,False
f_n_FF,0.00028212679910621084,0.0002537975075825908,0.8995866694926948,False
